"","X","GeneID","TrxID","Npeptides","Ndetect.apy","Ndetect.eup","ID","Nobs.apy","Nobs.eup","mar","specific.eup","specific.apy","imputed","num_NAs","Means.Apy","Means.Eupy","Means.All","Apyrene_vs_Eupyrene_CI.L","Apyrene_vs_Eupyrene_CI.R","Apyrene_vs_Eupyrene_diff","Apyrene_vs_Eupyrene_p.adj","Apyrene_vs_Eupyrene_p.val","significant","Apyrene_vs_Eupyrene_significant","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de","TranscriptID","GeneName","type","score","PPV","id","desc","subject_seq.id","percent_identicalMatches","alignment_length","number_mismatches","number_gapOpenings","start_query.alignment","end_query.alignment","start_subject.alignment","end_subject.alignment","expect_value","bit_value","organism_commonName","organism_scientificName","organism_group","function."
"76",76,"PIERAPG00000000659","PIERAPT00000001565",15,6,6,"PIERAPG00000000659",5,6,TRUE,FALSE,FALSE,FALSE,0,19.2269782032974,19.4246108461567,19.4246108461567,-1.11838376166408,0.393730737846578,-0.362326511908751,0.860930263613297,0.324477468292514,FALSE,FALSE,0.594189490718695,FALSE,"unbiased","PIERAPT00000001565","FASN_2",NA,NA,NA,NA,NA,"P49327.3",42.361,432,235,7,2,423,730,1157,2.82e-94,325,"human","Homo sapiens","primates","RecName: Full=Fatty acid synthase; Includes: RecName: Full=[Acyl-carrier-protein] S-acetyltransferase; Includes: RecName: Full=[Acyl-carrier-protein] S-malonyltransferase; Includes: RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase; Includes: RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; Includes: RecName: Full=3-hydroxyacyl-[acyl-carrier-protein] dehydratase; Includes: RecName: Full=Enoyl-[acyl-carrier-protein] reductase; Includes: RecName: Full=Oleoyl-[acyl-carrier-protein] hydrolase"
"78",78,"PIERAPG00000000676","PIERAPT00000001601",1,3,2,"PIERAPG00000000676",3,2,TRUE,FALSE,FALSE,TRUE,6,13.7227013460757,13.2821284089744,13.2821284089744,-0.48477105949192,2.10020516219649,0.807717051352286,0.82861716892023,0.203631796958834,FALSE,FALSE,0.4624358671965,FALSE,"unbiased","PIERAPT00000001601","G100733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"PIERAPG00000000727","PIERAPT00000001735",18,6,6,"PIERAPG00000000727",5,6,TRUE,FALSE,FALSE,FALSE,0,19.4660557872368,19.4902390569559,19.4902390569559,-1.52166896758339,1.43299697861339,-0.0443359944849959,0.918371933812304,0.950017860314411,FALSE,FALSE,0.985500114459102,FALSE,"unbiased","PIERAPT00000001735","SERAACH2","DE",1.93000903997,0.830083016952,0.727272727273,"Antitrypsin","P14754.1",50.656,381,184,2,9,388,10,387,7.32e-125,368,"tobacco hornworm","Manduca sexta","moths","RecName: Full=Alaserpin; AltName: Full=Serpin-1; Flags: Precursor"
"88",88,"PIERAPG00000000749","PIERAPT00000001795",1,4,6,"PIERAPG00000000749",5,6,TRUE,FALSE,FALSE,FALSE,0,14.5448811628936,16.1050607571368,16.1050607571368,-3.91580209944346,-1.80485641278173,-2.86032925611259,0.00758317588684308,3.13232641909784e-05,TRUE,TRUE,0.000612461942181249,TRUE,"eupyrene","PIERAPT00000001795","SPATA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"PIERAPG00000000777","PIERAPT00000001865",11,6,6,"PIERAPG00000000777",5,6,TRUE,FALSE,FALSE,FALSE,0,19.1666449922962,19.3732760137613,19.3732760137613,-1.21585947914004,0.458212400434748,-0.378823539352645,0.86591473600758,0.351306849004792,FALSE,FALSE,0.619821638053041,FALSE,"unbiased","PIERAPT00000001865","APLP","DE",1.01739397864,0.51461321803,0.375,"Apolipophorin (Fragment)","Q25490.1",62.785,395,145,2,8,401,7,400,2.22e-160,503,"tobacco hornworm","Manduca sexta","moths","RecName: Full=Apolipophorins; Contains: RecName: Full=Apolipophorin-2; AltName: Full=Apolipophorin II; AltName: Full=apoLp-2; Contains: RecName: Full=Apolipophorin-1; AltName: Full=Apolipophorin I; AltName: Full=apoLp-1; Flags: Precursor"
"96",96,"PIERAPG00000000825","PIERAPT00000001983",2,5,2,"PIERAPG00000000825",5,2,TRUE,FALSE,FALSE,TRUE,4,16.3167498318272,15.5369281215053,15.5369281215053,0.742889740993575,2.11645653018648,1.42967313559003,0.0767867524518821,0.00044391875859677,FALSE,FALSE,0.00553083844460088,TRUE,"apyrene","PIERAPT00000001983","AtpalphaAT1B",NA,NA,NA,NA,NA,"P28774.1",49.583,240,98,1,5,221,483,722,2.63e-71,237,"Artemia franciscana","Artemia franciscana","crustaceans","RecName: Full=Sodium/potassium-transporting ATPase subunit alpha-B; Short=Na(+)/K(+) ATPase alpha-B subunit; AltName: Full=Sodium pump subunit alpha-B"
"107",107,"PIERAPG00000000938","PIERAPT00000002213",20,6,6,"PIERAPG00000000938",5,6,TRUE,FALSE,FALSE,FALSE,0,27.6878916217015,27.9164530077262,27.9164530077262,-1.19873285532981,0.360674439905925,-0.41902920771194,0.84910625270648,0.271080650849584,FALSE,FALSE,0.546104292984252,FALSE,"unbiased","PIERAPT00000002213","pyrG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"PIERAPG00000000938","PIERAPT00000002214",19,6,6,"PIERAPG00000000938",5,6,TRUE,FALSE,FALSE,FALSE,0,16.5403407332249,16.8134791844246,16.8134791844246,-1.46801737447128,0.466509720072428,-0.500753827199425,0.853263975500754,0.288388948853908,FALSE,FALSE,0.565882447455957,FALSE,"unbiased","PIERAPT00000002213","pyrG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"PIERAPG00000000950","PIERAPT00000002233",4,1,6,"PIERAPG00000000950",1,6,FALSE,TRUE,FALSE,TRUE,4,13.2692178856048,15.5499536587222,15.5499536587222,-4.86860824204257,-3.49408959272108,-4.18134891738183,4.15283942529546e-13,8.33291086478054e-10,TRUE,TRUE,1.53881087302947e-07,TRUE,"eupyrene","PIERAPT00000002233","EFTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"PIERAPG00000001047","PIERAPT00000002429",5,6,6,"PIERAPG00000001047",5,6,TRUE,FALSE,FALSE,FALSE,0,24.3610786147886,24.2229526337606,24.2229526337606,-0.594518310819314,1.10098024125545,0.253230965218066,0.890126299862551,0.535213049292658,FALSE,FALSE,0.76031908234872,FALSE,"unbiased","PIERAPT00000002429","ilvC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,"PIERAPG00000001111","PIERAPT00000002575",1,6,6,"PIERAPG00000001111",5,6,TRUE,FALSE,FALSE,FALSE,0,16.1808425823583,15.4373262120103,15.4373262120103,0.560340953453005,2.16588573782286,1.36311334563793,0.240181231367315,0.00242516111711505,FALSE,FALSE,0.0212137777718169,TRUE,"apyrene","PIERAPT00000002575","mai-2","DE",2.89988441644,0.965514631112,0.914285714286,"Mitochondrial ATPase inhibitor IATP","O44441.1",54.688,64,29,0,38,101,36,99,5.03e-19,78.2,"Caenorhabditis elegans","Caenorhabditis elegans","nematodes","RecName: Full=ATPase inhibitor mai-2, mitochondrial; AltName: Full=ATP synthase F1 subunit epsilon; Flags: Precursor"
"127",127,"PIERAPG00000001119","PIERAPT00000002587",1,5,5,"PIERAPG00000001119",5,5,TRUE,FALSE,FALSE,TRUE,1,16.1694107951596,16.2415185811345,16.2415185811345,-0.734720068869095,0.470324853627695,-0.1321976076207,0.900038590572747,0.647845719233228,FALSE,FALSE,0.831443695263031,FALSE,"unbiased","PIERAPT00000002587","yubA","DE",1.27206050899,0.757948203371,0.705882352941,"Putative sporulation integral membrane protein YtvI","O32086.1",46.631,371,198,0,15,385,11,381,5.79e-99,302,"Bacillus subtilis subsp. subtilis str. 168","Bacillus subtilis subsp. subtilis str. 168","firmicutes","RecName: Full=Putative transport protein YubA"
"130",130,"PIERAPG00000001134","PIERAPT00000002631",3,0,6,"PIERAPG00000001134",0,6,FALSE,TRUE,FALSE,TRUE,5,15.3848295067152,15.7128594604379,15.7128594604379,-1.24342731681821,0.0406508198349467,-0.601388248491633,0.721546470011851,0.0644567709076549,FALSE,FALSE,0.230877485449402,FALSE,"eupyrene","PIERAPT00000002632","MYH15Celsr3ZNF583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"PIERAPG00000001145","PIERAPT00000002676",1,5,5,"PIERAPG00000001145",5,5,TRUE,FALSE,FALSE,TRUE,1,16.4769148807447,16.137879995344,16.137879995344,-0.807257524585634,2.05038543772135,0.62156395656786,0.869059461192462,0.369802933679906,FALSE,FALSE,0.635612849663188,FALSE,"unbiased","PIERAPT00000002675","DYHC",NA,NA,NA,NA,NA,"P39057.1",78.311,521,107,3,1,517,1577,2095,0,854,"Heliocidaris crassispina","Heliocidaris crassispina","sea urchins","RecName: Full=Dynein beta chain, ciliary"
"138",138,"PIERAPG00000001192","PIERAPT00000002776",5,5,5,"PIERAPG00000001192",5,5,TRUE,FALSE,FALSE,TRUE,1,17.9044189320694,17.7393902141329,17.7393902141329,-0.398550163103132,1.00365546220351,0.30255264955019,0.869670091355117,0.37354673609419,FALSE,FALSE,0.639834961373579,FALSE,"unbiased","PIERAPT00000002776","MYO18A_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"PIERAPG00000001289","PIERAPT00000003041",3,3,2,"PIERAPG00000001289",3,3,TRUE,FALSE,FALSE,TRUE,5,14.5696260826274,14.7017063438296,14.7017063438296,-1.08828663281885,0.603992341744076,-0.242147145537389,0.891796178135385,0.552272342976937,FALSE,FALSE,0.768740899520662,FALSE,"unbiased","PIERAPT00000003041","Hydin",NA,NA,NA,NA,NA,"Q80W93.2",20.498,683,424,22,7,592,1746,2406,1.95e-15,84.7,"house mouse","Mus musculus","rodents","RecName: Full=Hydrocephalus-inducing protein; AltName: Full=Protein Hy-3"
"150",150,"PIERAPG00000001312","PIERAPT00000003090",3,6,6,"PIERAPG00000001312",5,6,TRUE,FALSE,FALSE,FALSE,0,19.876071647375,20.029839022584,20.029839022584,-1.40362179431957,0.839808085220075,-0.281906854549749,0.896232891302744,0.601225786139191,FALSE,FALSE,0.802600206074968,FALSE,"unbiased","PIERAPT00000003090","Muc19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,"PIERAPG00000001376","PIERAPT00000003226",4,5,5,"PIERAPG00000001376",4,5,TRUE,FALSE,FALSE,TRUE,2,17.9330579909297,18.4978984770758,18.4978984770758,-2.29229041904186,0.221208636506094,-1.03554089126789,0.767257090972862,0.0997614535324252,FALSE,FALSE,0.303669479433866,FALSE,"unbiased","PIERAPT00000003226","Kcnj16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,"PIERAPG00000001396","PIERAPT00000003279",10,6,6,"PIERAPG00000001396",5,6,TRUE,FALSE,FALSE,FALSE,0,23.2513138877766,22.8905889373537,22.8905889373537,-0.0941497446305042,1.416807896181,0.661329075775246,0.747492096602473,0.0819572355360606,FALSE,FALSE,0.271340488966001,FALSE,"unbiased","PIERAPT00000003279","ruvB_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,"PIERAPG00000001398","PIERAPT00000003281",1,5,6,"PIERAPG00000001398",5,6,TRUE,FALSE,FALSE,FALSE,0,13.4873773448503,13.4615749991337,13.4615749991337,-0.676609746039232,0.77121834700016,0.0473043004804641,0.915438927368643,0.891461214269455,FALSE,FALSE,0.959090217684258,FALSE,"unbiased","PIERAPT00000003281","GlyS","DE",0.835253729824,0.429827349615,0.730769230769,"Glycogen [starch] synthase","Q9VFC8.2",73.885,157,38,2,1,155,553,708,9.79e-66,215,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Glycogen [starch] synthase; AltName: Full=Glycogen synthase"
"164",164,"PIERAPG00000001407","PIERAPT00000003305",3,4,6,"PIERAPG00000001407",5,6,TRUE,FALSE,FALSE,FALSE,0,16.1117163925067,15.9396486737571,15.9396486737571,-0.534637858212594,1.16555282696116,0.315457484374283,0.87964003735657,0.442646635475047,FALSE,FALSE,0.688084134397479,FALSE,"unbiased","PIERAPT00000003305","CTSB","DE",0.59264819172,0.107127599997,0.285714285714,"Cathepsin B-like protein (Fragment)","A1E295.1",73.529,102,27,0,3,104,230,331,4.9e-51,166,"pig","Sus scrofa","even-toed ungulates","RecName: Full=Cathepsin B; Contains: RecName: Full=Cathepsin B light chain; Contains: RecName: Full=Cathepsin B heavy chain; Flags: Precursor"
"169",169,"PIERAPG00000001449","PIERAPT00000003430",4,6,6,"PIERAPG00000001449",5,6,TRUE,FALSE,FALSE,FALSE,0,19.3294083546632,19.3457782368668,19.3457782368668,-0.865419589916054,0.805396688503012,-0.030011450706521,0.917894810510285,0.940187764010614,FALSE,FALSE,0.978586088670372,FALSE,"unbiased","PIERAPT00000003430","RSSA","DE",0.953020351538,0.485477189658,0.763888888889,"40S ribosomal protein SA (inferred by orthology to a C. elegans protein)","Q5UAP4.1",96.396,111,4,0,1,111,1,111,1.56e-73,223,"domestic silkworm","Bombyx mori","moths","RecName: Full=40S ribosomal protein SA"
"197",197,"PIERAPG00000001722","PIERAPT00000004073",10,5,6,"PIERAPG00000001722",5,6,TRUE,FALSE,FALSE,FALSE,0,18.0467674394313,17.7903078207381,17.7903078207381,-0.553275588392634,1.49362752360089,0.470175967604128,0.864663029590511,0.344293968122236,FALSE,FALSE,0.609389323769069,FALSE,"unbiased","PIERAPT00000004073","Spag6","DE",0.766417121519,0.395893164702,0.571428571429,"Armadillo repeat containing protein","Q9JLI7.1",51.724,203,95,1,1,200,24,226,1.21e-62,204,"house mouse","Mus musculus","rodents","RecName: Full=Sperm-associated antigen 6; AltName: Full=Axoneme central apparatus protein; AltName: Full=Protein PF16 homolog"
"199",199,"PIERAPG00000001735","PIERAPT00000004128",4,5,6,"PIERAPG00000001735",5,6,TRUE,FALSE,FALSE,FALSE,0,16.5381436805919,17.6377373004462,17.6377373004462,-2.84500071676757,-1.18684255603137,-2.01592163639947,0.0230321500283034,9.8860400289059e-05,TRUE,TRUE,0.00157986524308092,TRUE,"eupyrene","PIERAPT00000004128","atpG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",206,"PIERAPG00000001836","PIERAPT00000004402",1,4,5,"PIERAPG00000001836",5,5,TRUE,FALSE,FALSE,TRUE,1,13.32896654773,13.4386942184663,13.4386942184663,-1.03313451962161,0.630799726921949,-0.201167396349829,0.897393116368709,0.614960781362091,FALSE,FALSE,0.807318182167295,FALSE,"unbiased","PIERAPT00000004402","Cad86C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",208,"PIERAPG00000001853","PIERAPT00000004440",8,3,6,"PIERAPG00000001853",4,6,TRUE,FALSE,FALSE,TRUE,1,14.1205599680003,16.3151276570054,16.3151276570054,-4.84445399456038,-3.20229419845831,-4.02337409650934,1.01491481015257e-08,1.80653309229646e-08,TRUE,TRUE,1.07385825516181e-06,TRUE,"eupyrene","PIERAPT00000004440","Vha36-3vha-14Vha36-1",NA,NA,NA,NA,NA,"Q9NEF6.1",28.216,241,166,3,16,250,6,245,2.58e-22,100,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Probable V-type proton ATPase subunit D 2; Short=V-ATPase subunit D 2; AltName: Full=Vacuolar H+ ATPase subunit 36-3; AltName: Full=Vacuolar proton pump subunit D 2"
"214",214,"PIERAPG00000001898","PIERAPT00000004573",3,2,5,"PIERAPG00000001898",3,5,TRUE,FALSE,FALSE,TRUE,3,14.6657117095266,15.5170376594122,15.5170376594122,-2.58215881051097,-0.539369672403007,-1.56076424145699,0.352526501854547,0.00516828877733575,FALSE,FALSE,0.0376978744504948,TRUE,"eupyrene","PIERAPT00000004573","WRKY19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",215,"PIERAPG00000001903","PIERAPT00000004589",3,6,6,"PIERAPG00000001903",5,6,TRUE,FALSE,FALSE,FALSE,0,20.464791383828,20.0255153627587,20.0255153627587,-0.274224899571402,1.88490364349205,0.805339371960322,0.794015509657089,0.133214972500616,FALSE,FALSE,0.356527027851891,FALSE,"unbiased","PIERAPT00000004589","Agbl3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",219,"PIERAPG00000001928","PIERAPT00000004642",2,5,6,"PIERAPG00000001928",5,6,TRUE,FALSE,FALSE,FALSE,0,17.6362523268287,18.0731378793322,18.0731378793322,-1.81136831718071,0.209454624667599,-0.800956846256554,0.778441715123743,0.112183221101086,FALSE,FALSE,0.328833357089956,FALSE,"unbiased","PIERAPT00000004642","TNPO1","DE",0.676465403273,0.299488100512,0.732142857143,"Importin N-terminal domain-containing protein (Fragment)","Q92973.2",72.65,351,94,1,1,351,9,357,4.37e-176,519,"human","Homo sapiens","primates","RecName: Full=Transportin-1; AltName: Full=Importin beta-2; AltName: Full=Karyopherin beta-2; AltName: Full=M9 region interaction protein; Short=MIP"
"220",220,"PIERAPG00000001949","PIERAPT00000004689",2,6,6,"PIERAPG00000001949",5,6,TRUE,FALSE,FALSE,FALSE,0,20.1515271833837,21.301684499023,21.301684499023,-2.85802248793829,-1.35922100273928,-2.10862174533879,0.00473494658327367,2.06533046028489e-05,TRUE,TRUE,0.000423775212962159,TRUE,"eupyrene","PIERAPT00000004689","THO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",234,"PIERAPG00000002059","PIERAPT00000004969",7,6,6,"PIERAPG00000002059",5,6,TRUE,FALSE,FALSE,FALSE,0,19.8956529202205,19.7941561282311,19.7941561282311,-0.602614090637221,0.974768994598559,0.186077451980669,0.898097298734915,0.623497570412362,FALSE,FALSE,0.81338537050655,FALSE,"unbiased","PIERAPT00000004969","ANX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,"PIERAPG00000002065","PIERAPT00000004975",3,5,6,"PIERAPG00000002065",5,6,TRUE,FALSE,FALSE,FALSE,0,16.257095977075,16.6373069956926,16.6373069956926,-1.50069310577677,0.106586037512295,-0.697053534132237,0.750687805526397,0.0845311477549329,FALSE,FALSE,0.273861145358087,FALSE,"unbiased","PIERAPT00000004975","ox","DE",2.27876552524,0.902491707235,0.9,"Ubiquinol cytochrome-c reductase complex subunit 9","Q9XY35.1",61.538,52,20,0,7,58,4,55,2.85e-18,72.8,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Cytochrome b-c1 complex subunit 9; AltName: Full=Complex III subunit 9; AltName: Full=Complex III subunit X; AltName: Full=Protein oxen; AltName: Full=Ubiquinol-cytochrome c reductase complex 6.3 kDa protein"
"251",251,"PIERAPG00000002255","PIERAPT00000005385",1,6,6,"PIERAPG00000002255",5,6,TRUE,FALSE,FALSE,FALSE,0,20.5394203456791,20.657519718676,20.657519718676,-1.06989131439505,0.636860280072906,-0.216515517161074,0.895937156906765,0.597789217391941,FALSE,FALSE,0.800555073806078,FALSE,"unbiased","PIERAPT00000005385","G100122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",261,"PIERAPG00000002355","PIERAPT00000005614",3,6,6,"PIERAPG00000002355",5,6,TRUE,FALSE,FALSE,FALSE,0,14.9179304522781,16.3855793417494,16.3855793417494,-3.64511306348271,-1.73626619791196,-2.69068963069734,0.00462547564922104,2.02112613603556e-05,TRUE,TRUE,0.000419888954761387,TRUE,"eupyrene","PIERAPT00000005614","xseA_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",262,"PIERAPG00000002356","PIERAPT00000005615",6,6,6,"PIERAPG00000002356",5,6,TRUE,FALSE,FALSE,FALSE,0,17.3421636745313,17.0277277601029,17.0277277601029,-0.135193618917588,1.2881253051551,0.576465843118758,0.772323287269573,0.105146069627696,FALSE,FALSE,0.313880068928291,FALSE,"unbiased","PIERAPT00000005615","G105673","DE",0.616462382982,0.161781168944,0.825,"Coiled-coil domain-containing protein 39","P0CK98.2",27.119,354,257,1,12,365,369,721,2.03e-27,119,"zebrafish","Danio rerio","bony fishes","RecName: Full=Coiled-coil domain-containing protein 39"
