"","GeneName","GeneID","DpleGene","MsexGene"
"2769","SODC","PIERAPG00000004223","DPOGS209134","Msex2.00386"
"2771","RpS21","PIERAPG00000004225","DPOGS211671","Msex2.13773"
"2785","TRYP3_2","PIERAPG00000004245","DPOGS214899","Msex2.12379"
"2786","DAP","PIERAPG00000004246","DPOGS203542","Msex2.04910"
"2788","ech-6","PIERAPG00000004250","DPOGS200362","Msex2.13165"
"2814","RS27A","PIERAPG00000004287",NA,"Msex2.07324"
"2831","Ken-072rpoCric-3","PIERAPG00000004317","DPOGS206005",NA
"2835","VCP_2","PIERAPG00000004322","DPOGS207125","Msex2.01614"
"2844","Anp32a","PIERAPG00000004335","DPOGS201252","Msex2.02241"
"2845","NUDT14","PIERAPG00000004337","DPOGS214712","Msex2.01237"
"2847","esr1","PIERAPG00000004340","DPOGS207540","Msex2.07364"
"2853","guaA","PIERAPG00000004346","DPOGS202376","Msex2.10983"
"2854","Prps1","PIERAPG00000004347","DPOGS209694","Msex2.02870"
"2855","VCP_3","PIERAPG00000004348","DPOGS201319","Msex2.05425"
"2867","h2afv","PIERAPG00000004366","DPOGS210556","Msex2.04254"
"2868","MLR","PIERAPG00000004368","DPOGS208212","Msex2.02102"
"2869","KLHL10","PIERAPG00000004370","DPOGS208488","Msex2.06698"
"2887","fum-1","PIERAPG00000004403","DPOGS211602","Msex2.07197"
"2888","IGBP1","PIERAPG00000004405","DPOGS202196","Msex2.07713"
"2890","glnR","PIERAPG00000004407","DPOGS204783",NA
"2893","OXCT1","PIERAPG00000004410","DPOGS200923","Msex2.03109"
"2913","MAP65-8","PIERAPG00000004448","DPOGS202695","Msex2.07904"
"2917","sls_2","PIERAPG00000004452","DPOGS207167","Msex2.11630"
"2919","Jafrac1","PIERAPG00000004455","DPOGS211437","Msex2.01475"
"2928","eIF3-S6","PIERAPG00000004465","DPOGS215609","Msex2.06999"
"2937","HINT1","PIERAPG00000004479",NA,"Msex2.03846"
"2950","C15orf26","PIERAPG00000004497","DPOGS203806","Msex2.00213"
"2955","Sqrdl","PIERAPG00000004503",NA,"Msex2.06427"
"2967","SdhB_2","PIERAPG00000004523","DPOGS202024","Msex2.03529"
"2974","T05H10.6","PIERAPG00000004531","DPOGS213237","Msex2.07271"
"2986","Efcab2","PIERAPG00000004550","DPOGS202537",NA
"2991","GGCT_2","PIERAPG00000004555","DPOGS215777","Msex2.05473"
"3011","PebIII_5","PIERAPG00000004578","DPOGS208398","Msex2.07525"
"3015","HSD17B8","PIERAPG00000004585","DPOGS213161","Msex2.12969"
"3018","NME9","PIERAPG00000004589","DPOGS205593","Msex2.13684"
"3023","ACO2","PIERAPG00000004598","DPOGS210806","Msex2.04652"
"3024","hmu","PIERAPG00000004601","DPOGS213883",NA
"3026","G105527","PIERAPG00000004605",NA,"Msex2.12303"
"3027","VKT2","PIERAPG00000004607","DPOGS212452",NA
"3029","RpL13","PIERAPG00000004612","DPOGS203823","Msex2.00246"
"3034","UGP2","PIERAPG00000004618","DPOGS215219","Msex2.05887"
"3043","Ndufv1","PIERAPG00000004630","DPOGS207628","Msex2.02052"
"3048","Cdlc2","PIERAPG00000004636","DPOGS206819","Msex2.09886"
"3073","B1_3","PIERAPG00000004675","DPOGS207878","Msex2.00462"
"3087","Gabarap","PIERAPG00000004706","DPOGS211637","Msex2.12228"
"3091","MPCP_2","PIERAPG00000004711","DPOGS209345",NA
"3102","Hrb98DE","PIERAPG00000004737","DPOGS210978","Msex2.07254"
"3113","G103224","PIERAPG00000004754",NA,"Msex2.09411"
"3115","AK1","PIERAPG00000004756","DPOGS201556","Msex2.07067"
"3134","SODCPOLE5","PIERAPG00000004798","DPOGS212447","Msex2.11087"
"3148","HIBN","PIERAPG00000004816","DPOGS210875","Msex2.12262"
"3151","CLVS1","PIERAPG00000004820","DPOGS201345","Msex2.05389"
"3167","Rims2","PIERAPG00000004840","DPOGS204470","Msex2.06845"
"3181","tdcB_2","PIERAPG00000004867","DPOGS202329","Msex2.08116"
"3186","Uqcrc1","PIERAPG00000004876","DPOGS203391","Msex2.03690"
"3209","TP02","PIERAPG00000004915","DPOGS211279","Msex2.10214"
"3211","NIPBL","PIERAPG00000004918","DPOGS206105","Msex2.09196"
"3215","RpS17","PIERAPG00000004923","DPOGS208056","Msex2.04623"
"3219","Aldh3a1","PIERAPG00000004927","DPOGS215931","Msex2.06297"
"3252","Acss3","PIERAPG00000004986","DPOGS214860","Msex2.03213"
"3263","Gs2","PIERAPG00000005003","DPOGS207944","Msex2.06356"
"3268","ENPEP_2","PIERAPG00000005011","DPOGS208533","Msex2.11506"
"3270","Psma5","PIERAPG00000005015","DPOGS202375","Msex2.10987"
"3274","deoDprfC","PIERAPG00000005020",NA,"Msex2.09388"
"3278","CTSOGALM","PIERAPG00000005024","DPOGS214009","Msex2.00012"
"3280","FPR2","PIERAPG00000005026","DPOGS206800","Msex2.01392"
"3289","RpL3","PIERAPG00000005041","DPOGS215840","Msex2.08489"
"3300","AGAP009593_2","PIERAPG00000005057",NA,"Msex2.07774"
"3307","CG062","PIERAPG00000005065","DPOGS207283","Msex2.01032"
"3311","MEF1","PIERAPG00000005070","DPOGS208096",NA
"3315","TARDBP","PIERAPG00000005080","DPOGS206111","Msex2.10029"
"3328","Clc","PIERAPG00000005100","DPOGS211917","Msex2.12862,Msex2.13339"
"3332","tomboy40","PIERAPG00000005108","DPOGS215635","Msex2.05475"
"3341","TfIIS","PIERAPG00000005123","DPOGS214124","Msex2.10478"
"3343","Fas3_2","PIERAPG00000005125",NA,"Msex2.01957"
"3347","Prdx4","PIERAPG00000005130","DPOGS208935","Msex2.08651"
"3350","traICFAP45","PIERAPG00000005134","DPOGS213345","Msex2.06078"
"3353","CPA3CBPB","PIERAPG00000005138","DPOGS204330","Msex2.03577"
"3358","Hrb27C_2","PIERAPG00000005146","DPOGS200032","Msex2.11661"
"3361","ttc25","PIERAPG00000005151","DPOGS209915","Msex2.02721"
"3373","Gel_4","PIERAPG00000005165",NA,"Msex2.11400,Msex2.11830"
"3375","mdh","PIERAPG00000005167","DPOGS212589","Msex2.02939"
"3380","RpS6","PIERAPG00000005176","DPOGS208035","Msex2.00702"
"3383","cher","PIERAPG00000005179","DPOGS214485",NA
"3384","CFAP61","PIERAPG00000005180","DPOGS211352","Msex2.00432"
"3388","fhaB_5","PIERAPG00000005187","DPOGS213075",NA
"3394","dpyd","PIERAPG00000005195","DPOGS210796","Msex2.04666"
"3411","ACH1","PIERAPG00000005216","DPOGS201118","Msex2.06957"
"3413","HAS1","PIERAPG00000005220","DPOGS210644,DPOGS210645",NA
"3414","ESYT2","PIERAPG00000005221","DPOGS204224","Msex2.06200"
"3416","eEF1delta","PIERAPG00000005223","DPOGS203816","Msex2.00233"
"3440","HRSP12","PIERAPG00000005265","DPOGS211646,DPOGS208145","Msex2.12226"
"3445","Ssr4","PIERAPG00000005270","DPOGS201614","Msex2.14097"
"3455","Act5C","PIERAPG00000005290",NA,"Msex2.05364"
"3460","G109353","PIERAPG00000005304","DPOGS214132","Msex2.10463"
"3487","banf1","PIERAPG00000005349","DPOGS213672","Msex2.12382"
"3490","CG3800","PIERAPG00000005355","DPOGS202911","Msex2.12424"
"3494","CG2145","PIERAPG00000005362","DPOGS215628","Msex2.10045"
"3502","Mp20","PIERAPG00000005371","DPOGS201964","Msex2.05567"
"3516","TBB1_3","PIERAPG00000005392","DPOGS209862","Msex2.12964"
"3531","TAF4mnmG","PIERAPG00000005423","DPOGS200051","Msex2.07359"
"3545","CCT2","PIERAPG00000005443","DPOGS215973","Msex2.12882,Msex2.14325"
"3546","PPT1","PIERAPG00000005444","DPOGS213554","Msex2.02348"
"3559","G105670","PIERAPG00000005465","DPOGS210891","Msex2.00265"
"3562","PSMB2","PIERAPG00000005470","DPOGS206666","Msex2.00505"
"3571","acat1","PIERAPG00000005489","DPOGS205286","Msex2.03956"
"3577","USO1","PIERAPG00000005499","DPOGS204433","Msex2.08978"
"3587","Nucb1","PIERAPG00000005513","DPOGS207190","Msex2.03418"
"3591","ADHX","PIERAPG00000005518","DPOGS210365","Msex2.08932"
"3596","rtn3-b","PIERAPG00000005523","DPOGS209442","Msex2.11379"
"3609","G105259","PIERAPG00000005541","DPOGS213087","Msex2.13890"
"3628","Map10","PIERAPG00000005568","DPOGS206036",NA
"3635","RSPH1","PIERAPG00000005580","DPOGS212621","Msex2.02950"
"3637","psbVCG6659","PIERAPG00000005584","DPOGS211413",NA
"3653","Gnpda1_2","PIERAPG00000005609","DPOGS204639","Msex2.04157"
"3656","JHBP","PIERAPG00000005613","DPOGS209220","Msex2.04011"
"3662","RABAC1","PIERAPG00000005623","DPOGS204264","Msex2.07051"
"3666","Capzb","PIERAPG00000005629","DPOGS204690",NA
"3668","PROF","PIERAPG00000005633","DPOGS211106","Msex2.10363"
"3673","Myef2","PIERAPG00000005639","DPOGS204567","Msex2.02516"
"3691","URH2_3","PIERAPG00000005665","DPOGS208676",NA
"3694","Srp9","PIERAPG00000005669","DPOGS213270","Msex2.14331"
"3705","Pkd1l3","PIERAPG00000005688","DPOGS207741","Msex2.02258"
"3714","boca","PIERAPG00000005704","DPOGS211251","Msex2.01853"
"3722","rpl27","PIERAPG00000005716","DPOGS200872","Msex2.06678"
"3725","NDUFV2","PIERAPG00000005719","DPOGS212938","Msex2.12141"
"3728","DNAH8_2","PIERAPG00000005724","DPOGS203786","Msex2.10051"
"3731","Usp5","PIERAPG00000005730","DPOGS207857","Msex2.02314"
"3740","TARS","PIERAPG00000005744","DPOGS204649","Msex2.09082"
"3743","RpS16","PIERAPG00000005748","DPOGS205984","Msex2.10562"
"3745","TRZ1","PIERAPG00000005750","DPOGS205390",NA
"3748","NDUFA9","PIERAPG00000005753","DPOGS211948","Msex2.06817"
"3751","Uqcrh_2","PIERAPG00000005759",NA,"Msex2.05812"
"3762","thrS_3","PIERAPG00000005774","DPOGS205217","Msex2.09818,Msex2.14077"
"3772","LAMA5KTN1","PIERAPG00000005791","DPOGS202275","Msex2.05295"
"3773","Rpt2_2","PIERAPG00000005792","DPOGS202256","Msex2.13948"
"3774","ARD1","PIERAPG00000005793","DPOGS208136","Msex2.07677"
"3786","asrij","PIERAPG00000005810","DPOGS202995","Msex2.11849"
"3793","ATP5B","PIERAPG00000005828",NA,"Msex2.09812"
"3799","BH0128","PIERAPG00000005837",NA,"Msex2.05995"
"3802","G114311","PIERAPG00000005842","DPOGS210401","Msex2.07168"
"3805","DNAJC3","PIERAPG00000005846","DPOGS211439","Msex2.01990"
"3807","CG30291","PIERAPG00000005851","DPOGS204121","Msex2.00773"
"3819","CYTH1","PIERAPG00000005872","DPOGS203250","Msex2.07593"
"3822","UBA5","PIERAPG00000005877","DPOGS210588","Msex2.03044"
"3826","TIGD6","PIERAPG00000005886","DPOGS201209",NA
"3843","ESTF_9","PIERAPG00000005912","DPOGS207255","Msex2.06145,Msex2.06146"
"3845","Indy_3","PIERAPG00000005916","DPOGS203603","Msex2.01151"
"3852","lysoz_2","PIERAPG00000005930","DPOGS204654","Msex2.03436"
"3859","TRYP_6","PIERAPG00000005942","DPOGS213461",NA
"3860","dapD","PIERAPG00000005943","DPOGS208095","Msex2.11301"
"3862","HEXC_2","PIERAPG00000005945","DPOGS205116","Msex2.08131"
"3863","Dnah8_2","PIERAPG00000005947",NA,"Msex2.14811"
"3871","ANKRD39","PIERAPG00000005957","DPOGS206543","Msex2.07156"
"3875","Pal1","PIERAPG00000005965","DPOGS215724","Msex2.00925"
"3876","glpKTpet","PIERAPG00000005966","DPOGS211068","Msex2.01765"
"3877","Pka-R2","PIERAPG00000005968","DPOGS211789","Msex2.05857"
"3878","MYCBP","PIERAPG00000005969","DPOGS203218","Msex2.11923"
"3880","MPCP_3","PIERAPG00000005973","DPOGS215420","Msex2.12008"
"3883","BicD","PIERAPG00000005976","DPOGS210462","Msex2.08523"
"3892","ANPEP_2","PIERAPG00000005989","DPOGS200548",NA
"3894","LTA4H","PIERAPG00000005991","DPOGS214306","Msex2.09499"
"3897","Timm13","PIERAPG00000005994","DPOGS210920","Msex2.00287"
"3903","STIP1","PIERAPG00000006001","DPOGS202781","Msex2.06404"
"3905","snb-1","PIERAPG00000006007","DPOGS207470",NA
"3913","DNAJA1","PIERAPG00000006016","DPOGS208881","Msex2.00685"
"3914","CG6259","PIERAPG00000006017","DPOGS208897","Msex2.08014"
"3926","RSF1","PIERAPG00000006034","DPOGS205960","Msex2.12437"
"3927","G114193","PIERAPG00000006035","DPOGS207580","Msex2.06104"
"3932","TPD52","PIERAPG00000006042","DPOGS215801","Msex2.06996"
"3946","Dat_3","PIERAPG00000006062","DPOGS209294","Msex2.04003"
"3950","CG9791","PIERAPG00000006067","DPOGS205186","Msex2.04193"
"3952","efcab1","PIERAPG00000006070","DPOGS200908","Msex2.11523"
"3953","Sec11c","PIERAPG00000006072","DPOGS209012,DPOGS209011","Msex2.05732"
"3955","SSR1","PIERAPG00000006075","DPOGS210318","Msex2.13935"
"3963","RpS14","PIERAPG00000006086","DPOGS208928","Msex2.08648"
"3978","Tpi","PIERAPG00000006113","DPOGS200089","Msex2.09000"
"3979","PGLP2","PIERAPG00000006114","DPOGS213842","Msex2.02631"
"3987","CG6971","PIERAPG00000006127","DPOGS211585","Msex2.00575"
"3991","eif6","PIERAPG00000006133","DPOGS205693","Msex2.08631"
"4003","RpLP0","PIERAPG00000006146","DPOGS202160","Msex2.08911"
"4005","Oscp","PIERAPG00000006150","DPOGS203156","Msex2.11922"
"4010","NATT4_3","PIERAPG00000006156","DPOGS210709","Msex2.02441"
"4013","ALDH1A1","PIERAPG00000006162","DPOGS208887","Msex2.10520,Msex2.10521"
"4016","SRSF1","PIERAPG00000006166","DPOGS207134","Msex2.09887"
"4019","RPL12","PIERAPG00000006172","DPOGS214364","Msex2.05828,Msex2.07618"
"4029","ABHD17C","PIERAPG00000006185",NA,"Msex2.05440"
"4032","Lsm2","PIERAPG00000006188",NA,"Msex2.01933"
"4037","nit2","PIERAPG00000006195","DPOGS215088","Msex2.09033"
"4043","G108249","PIERAPG00000006203","DPOGS201807","Msex2.12168"
"4052","CBR1_3","PIERAPG00000006216","DPOGS201907","Msex2.07929"
"4056","lexA","PIERAPG00000006223","DPOGS207401","Msex2.01447"
"4057","RPN2","PIERAPG00000006225","DPOGS202204","Msex2.07699"
"4059","F40A3.3_3","PIERAPG00000006228","DPOGS212746","Msex2.07496,Msex2.10108"
"4068","Mthe","PIERAPG00000006239",NA,"Msex2.08577"
"4076","RPN1_2","PIERAPG00000006249","DPOGS201416",NA
"4089","BBP_2","PIERAPG00000006267","DPOGS202697","Msex2.07908"
"4111","Mfe2HSD17B4","PIERAPG00000006295","DPOGS207507","Msex2.05214"
"4112","Rpn8","PIERAPG00000006296","DPOGS214282","Msex2.02017"
"4120","Iqcd","PIERAPG00000006309","DPOGS207855","Msex2.02301"
"4123","PRS8","PIERAPG00000006317","DPOGS216160","Msex2.12773"
"4124","Gas8","PIERAPG00000006319","DPOGS214840","Msex2.01713"
"4125","trpCCETN2","PIERAPG00000006320",NA,"Msex2.10795"
"4128","akr2e_6","PIERAPG00000006324","DPOGS211673,DPOGS211672","Msex2.05951"
"4130","ImpL3","PIERAPG00000006327","DPOGS202991","Msex2.06580"
"4131","Igfals","PIERAPG00000006330","DPOGS202222","Msex2.07712"
"4146","Sar1b","PIERAPG00000006357","DPOGS208934","Msex2.08649"
"4148","SEC13","PIERAPG00000006359","DPOGS214950","Msex2.09471"
"4155","ESTF_10","PIERAPG00000006370","DPOGS205842",NA
"4173","zip","PIERAPG00000006391","DPOGS215054",NA
"4182","Uro","PIERAPG00000006402","DPOGS214269","Msex2.02001"
"4195","CanA-14F","PIERAPG00000006422","DPOGS206069","Msex2.10022"
"4198","AGAP009949AAEL006684","PIERAPG00000006430","DPOGS207424","Msex2.01442"
"4200","ruvbl2rept","PIERAPG00000006432","DPOGS206175","Msex2.12547"
"4203","C1TC","PIERAPG00000006438","DPOGS211321","Msex2.05258"
"4212","poc1bGB1","PIERAPG00000006453","DPOGS202110","Msex2.00165"
"4213","PGM2","PIERAPG00000006455","DPOGS202799","Msex2.04816"
"4219","M6pr_2","PIERAPG00000006464","DPOGS207875","Msex2.00469"
"4222","epi-1","PIERAPG00000006467","DPOGS215269","Msex2.07422"
"4227","Spase22-23","PIERAPG00000006477","DPOGS205623","Msex2.06286"
"4232","ACADSB","PIERAPG00000006490","DPOGS211032","Msex2.04080"
"4233","Dnah3","PIERAPG00000006491","DPOGS211202",NA
"4235","betaTub60D","PIERAPG00000006503","DPOGS213388","Msex2.06075"
"4242","G109842","PIERAPG00000006510","DPOGS204043","Msex2.00844"
"4255","KATNA1","PIERAPG00000006529","DPOGS209833","Msex2.07192"
"4259","eIF3-S7","PIERAPG00000006533","DPOGS213311","Msex2.03013"
"4265","DBI","PIERAPG00000006540","DPOGS212444,DPOGS212442",NA
"4269","ATP6AP1","PIERAPG00000006546","DPOGS205202","Msex2.09814"
"4273","NDUFB7","PIERAPG00000006550","DPOGS205766","Msex2.04383"
"4277","Tenm3","PIERAPG00000006559","DPOGS210688",NA
"4278","Cctgamma","PIERAPG00000006561","DPOGS205402","Msex2.06942"
"4282","psmb4","PIERAPG00000006568","DPOGS209852","Msex2.03878"
"4288","SNX6","PIERAPG00000006578","DPOGS200454","Msex2.10434"
"4289","LRRC43cep97","PIERAPG00000006580","DPOGS214113","Msex2.02004"
"4296","TIF35rlmH","PIERAPG00000006594","DPOGS213555","Msex2.02346"
"4297","TBA","PIERAPG00000006595","DPOGS203334,DPOGS214479","Msex2.02828,Msex2.04846"
"4301","hisBAMP1","PIERAPG00000006599",NA,"Msex2.13877"
"4302","ODA1","PIERAPG00000006601","DPOGS201801","Msex2.08307"
"4306","SLC25A1","PIERAPG00000006607","DPOGS212748","Msex2.10648"
"4309","Fmr1","PIERAPG00000006613","DPOGS202351","Msex2.09225"
"4348","crt","PIERAPG00000006672","DPOGS210046",NA
"4350","ABCG4_2","PIERAPG00000006674","DPOGS212605","Msex2.02959"
"4376","SFXN1","PIERAPG00000006717","DPOGS215533",NA
"4379","sqd","PIERAPG00000006723","DPOGS210542","Msex2.04249"
"4382","PyK_2","PIERAPG00000006726","DPOGS213656","Msex2.02915"
"4384","Fbn2FBN1","PIERAPG00000006729","DPOGS215419","Msex2.12009"
"4385","abd1rplR","PIERAPG00000006732","DPOGS208597",NA
"4387","CYC","PIERAPG00000006734","DPOGS216029","Msex2.01656"
"4398","RpS10","PIERAPG00000006754","DPOGS211872","Msex2.06816"
"4401","Zc2hc1b","PIERAPG00000006758",NA,"Msex2.01214"
"4412","ZC3H11A","PIERAPG00000006774","DPOGS216128","Msex2.00061"
"4432","Akr1b1","PIERAPG00000006801","DPOGS215024","Msex2.12071"
"4441","si:dkey-263h23.3","PIERAPG00000006811","DPOGS215075","Msex2.06447"
"4442","RpS3","PIERAPG00000006812","DPOGS207421","Msex2.01436"
"4447","G107130","PIERAPG00000006820","DPOGS212612,DPOGS206245",NA
"4449","CCT5","PIERAPG00000006824","DPOGS209097","Msex2.03853"
"4450","GSK3B","PIERAPG00000006827","DPOGS206625","Msex2.00524"
"4455","wbl","PIERAPG00000006836","DPOGS207007","Msex2.05066"
"4458","Lman1","PIERAPG00000006839","DPOGS201735","Msex2.05954"
"4464","EN03","PIERAPG00000006848","DPOGS207191","Msex2.03419"
"4472","Hadha","PIERAPG00000006860","DPOGS211087","Msex2.10082"
"4474","MTFP1","PIERAPG00000006862","DPOGS206839","Msex2.01580"
"4476","QSOX1","PIERAPG00000006866","DPOGS203952","Msex2.01365"
"4494","UQCRC2","PIERAPG00000006896","DPOGS204885","Msex2.10324"
"4509","EFHC1","PIERAPG00000006924","DPOGS208656","Msex2.09783"
"4511","IMPA1","PIERAPG00000006927","DPOGS215056","Msex2.03562"
"4513","IDH3G","PIERAPG00000006930","DPOGS200448","Msex2.01914"
"4514","FSTL4","PIERAPG00000006931","DPOGS212014","Msex2.14070"
"4528","guaB","PIERAPG00000006950","DPOGS208334",NA
"4533","cpsf6CG7185","PIERAPG00000006960","DPOGS205980","Msex2.09086"
"4547","Cox6a1_2","PIERAPG00000006982","DPOGS207824","Msex2.02259"
"4553","Gmd","PIERAPG00000006993","DPOGS202722","Msex2.11407"
"4557","Hadh","PIERAPG00000006998","DPOGS213213","Msex2.05114"
"4558","G109803","PIERAPG00000006999","DPOGS212815","Msex2.00877"
"4580","Rack1","PIERAPG00000007032",NA,"Msex2.13535"
"4582","tsr","PIERAPG00000007035","DPOGS205498","Msex2.09592"
"4584","Aldh1b1","PIERAPG00000007039","DPOGS201995","Msex2.05583"
"4585","Cd63","PIERAPG00000007040","DPOGS200150","Msex2.00999"
"4611","ncaph2AAEL006169","PIERAPG00000007079","DPOGS209945","Msex2.10743"
"4615","GA16655","PIERAPG00000007088","DPOGS215716","Msex2.00932"
"4616","ubxn1","PIERAPG00000007089","DPOGS202800","Msex2.04814"
"4618","Stt3b","PIERAPG00000007093","DPOGS202246","Msex2.08101"
"4621","IIV3-063R","PIERAPG00000007099","DPOGS211801","Msex2.13376,Msex2.13429,Msex2.13375"
"4622","YMR099C","PIERAPG00000007100","DPOGS215737","Msex2.03745"
"4623","ALDH2","PIERAPG00000007101","DPOGS205397","Msex2.11758"
"4645","DNAH10","PIERAPG00000007135","DPOGS210452","Msex2.08723"
"4646","RpL5","PIERAPG00000007137","DPOGS213082","Msex2.12412,Msex2.12457"
"4662","MARS","PIERAPG00000007160","DPOGS210187","Msex2.02155"
"4673","Psmd2","PIERAPG00000007183","DPOGS207763","Msex2.06641"
"4695","TpnC73F","PIERAPG00000007214","DPOGS213018","Msex2.05504"
"4696","dnal1","PIERAPG00000007215","DPOGS213092","Msex2.12267"
"4698","PRKCSH","PIERAPG00000007217","DPOGS207616","Msex2.00560"
"4699","ALAD","PIERAPG00000007221","DPOGS208843","Msex2.10250"
"4700","MYPH_2","PIERAPG00000007222","DPOGS205732","Msex2.05343"
"4713","Ccdc40","PIERAPG00000007244","DPOGS200337","Msex2.05354"
"4715","G112229","PIERAPG00000007247","DPOGS208663",NA
"4724","Spase25","PIERAPG00000007266","DPOGS201300","Msex2.14229"
"4728","G104138","PIERAPG00000007274","DPOGS200801","Msex2.14653"
"4739","Pkc53E","PIERAPG00000007290","DPOGS206317","Msex2.04738"
"4742","HMCN2_3","PIERAPG00000007294","DPOGS204493",NA
"4744","RpL7","PIERAPG00000007298","DPOGS213493","Msex2.11482"
"4747","Mthfd2l","PIERAPG00000007301","DPOGS215394","Msex2.04614"
"4748","Lrrc71_2","PIERAPG00000007303","DPOGS208601","Msex2.10808"
"4753","purLLysmd1","PIERAPG00000007314",NA,"Msex2.09119"
"4759","mdh-2","PIERAPG00000007325","DPOGS207101","Msex2.01570"
"4762","tig_6","PIERAPG00000007329","DPOGS205382","Msex2.10674,Msex2.10678"
"4767","G107414","PIERAPG00000007334","DPOGS203460","Msex2.01959"
"4774","l(2)efl_4","PIERAPG00000007344","DPOGS211795","Msex2.05844"
"4778","Hsp83","PIERAPG00000007351","DPOGS213899","Msex2.10128"
"4779","cysK_3","PIERAPG00000007352","DPOGS200776","Msex2.06144"
"4798","Ghitm","PIERAPG00000007378","DPOGS211176","Msex2.11150"
"4799","Gapdh2","PIERAPG00000007379","DPOGS215460",NA
"4801","cmpk1","PIERAPG00000007382","DPOGS202892","Msex2.12146"
"4808","hyou1","PIERAPG00000007394",NA,"Msex2.01166"
"4816","Psmd12","PIERAPG00000007409","DPOGS203598","Msex2.01140"
"4817","RpS19a","PIERAPG00000007410","DPOGS206595","Msex2.01199"
"4826","secA_2","PIERAPG00000007422","DPOGS210074","Msex2.13840,Msex2.14486"
"4833","RpS15Aa_2","PIERAPG00000007429","DPOGS206085","Msex2.04961"
"4842","PSMD10","PIERAPG00000007442",NA,"Msex2.02699"
"4844","CG12262","PIERAPG00000007445","DPOGS206041","Msex2.04788"
"4862","ascc3","PIERAPG00000007477","DPOGS212017","Msex2.12296"
"4878","fhaB_7","PIERAPG00000007498",NA,"Msex2.04241"
"4881","RpS12","PIERAPG00000007504","DPOGS213492","Msex2.11480"
"4884","AAEL003512AQP","PIERAPG00000007509","DPOGS213057","Msex2.12299"
"4886","SRM","PIERAPG00000007512","DPOGS205115","Msex2.08125"
"4890","Ost48","PIERAPG00000007519","DPOGS212414","Msex2.04506"
"4910","RpS28_2","PIERAPG00000007551","DPOGS210319","Msex2.14875"
"4912","AnxB9","PIERAPG00000007555","DPOGS200952","Msex2.09296"
"4918","CTRBKlkb1TMPRSS2Habp2CTRL","PIERAPG00000007566","DPOGS215549","Msex2.04935"
"4920","AARSD1","PIERAPG00000007568","DPOGS210384","Msex2.14005"
"4928","Atp6v0a1","PIERAPG00000007581",NA,"Msex2.09122"
"4946","RpL37A","PIERAPG00000007603","DPOGS200444","Msex2.02604"
"4965","Lrp2","PIERAPG00000007634","DPOGS210344","Msex2.07635"
"4970","GRHPR","PIERAPG00000007642","DPOGS201025","Msex2.05557"
"4977","SSR3","PIERAPG00000007655","DPOGS207772","Msex2.06662"
"4987","tubb4","PIERAPG00000007672","DPOGS202403,DPOGS213385,DPOGS213386,DPOGS215440","Msex2.01815,Msex2.01816,Msex2.06073"
"4998","Cyp9f2CYP9E2","PIERAPG00000007691","DPOGS202077","Msex2.11106"
"5009","se_2","PIERAPG00000007708","DPOGS213590","Msex2.02375"
"5014","PUU162","PIERAPG00000007714","DPOGS204059","Msex2.13676"
"5015","G112697","PIERAPG00000007716","DPOGS214731","Msex2.01218"
"5020","ran-4","PIERAPG00000007722","DPOGS202123","Msex2.10401"
"5021","RpL8","PIERAPG00000007723","DPOGS208069","Msex2.11121"
"5031","MKI67","PIERAPG00000007735","DPOGS208198","Msex2.02103"
"5032","SRSF7","PIERAPG00000007737","DPOGS201992","Msex2.13503"
"5046","AAEL013712_3","PIERAPG00000007756",NA,"Msex2.10807"
"5051","Reep5","PIERAPG00000007762","DPOGS211536","Msex2.01518"
"5089","Paox","PIERAPG00000007822","DPOGS211221","Msex2.10083"
"5090","rpsL","PIERAPG00000007823","DPOGS200992","Msex2.03368"
"5094","Evi5","PIERAPG00000007834","DPOGS200889","Msex2.06555"
"5097","sod-2Sod2","PIERAPG00000007840","DPOGS215496","Msex2.03430"
"5105","Bckdhb","PIERAPG00000007851","DPOGS201038","Msex2.05179"
"5131","efhc2","PIERAPG00000007894","DPOGS207775","Msex2.08816"
"5137","ZBTB17ZNF234","PIERAPG00000007907","DPOGS202396","Msex2.10372"
"5141","COPE","PIERAPG00000007911","DPOGS215391","Msex2.09357"
"5157","NDUFS8","PIERAPG00000007937","DPOGS200888","Msex2.06553"
"5159","AXP83.9","PIERAPG00000007940","DPOGS204492","Msex2.03322"
"5168","pdxdc1","PIERAPG00000007951","DPOGS210836",NA
"5169","SCP2_3","PIERAPG00000007952","DPOGS201015","Msex2.03367"
"5170","Aldh1b1_2","PIERAPG00000007954","DPOGS201994","Msex2.05584"
"5178","CFAP44","PIERAPG00000007965","DPOGS205797","Msex2.09544"
"5192","skp1","PIERAPG00000007989","DPOGS211966","Msex2.06796"
"5197","ATPsyn-gamma","PIERAPG00000007996","DPOGS202999","Msex2.01334"
"5202","PxnPPIL2","PIERAPG00000008003","DPOGS200145","Msex2.01005"
"5208","mutMrhmDpulA","PIERAPG00000008013","DPOGS203921","Msex2.10427"
"5217","Tbc1d7","PIERAPG00000008031",NA,"Msex2.00325"
"5226","MRPL12","PIERAPG00000008045","DPOGS210847","Msex2.06433"
"5227","Ndufs2_2","PIERAPG00000008046","DPOGS203997",NA
"5232","BCAP31","PIERAPG00000008054","DPOGS200873","Msex2.06676"
"5237","G104150","PIERAPG00000008063","DPOGS200799","Msex2.12444"
