Gene,SpermSubset,ProteinOrthoHomology,PANNZER_Description,Avg NSAF Apyrene,Avg NSAF Eupyrene
Msex2.03412,Apyrene,DPOGS209670,Catalase,0.000641665,NA
Msex2.03420,Eupyrene,NA,F-type H+-transporting ATPase subunit b,NA,0.001039298
Msex2.03430,Shared,DPOGS215496,Superoxide dismutase,0.002069073,0.001011926
Msex2.03493,Shared,DPOGS212928,Large subunit ribosomal protein L18e,0.00053531,0.00127267
Msex2.03495,Shared,DPOGS212973,Mitochondrial ubiquinol-cytochrome c reductase cytochrome c1 subunit,0.001647223,0.001015446
Msex2.03519,Shared,DPOGS205439,Odorant-binding protein 2,0.001246533,0.001747164
Msex2.03529,Shared,DPOGS202024,Succinate dehydrogenase iron-sulfur subunit,0.004654292,0.004288415
Msex2.03557,Shared,DPOGS215043,NA,0.000231061,0.000136237
Msex2.03577,Eupyrene,DPOGS204330,Carboxypeptidase B,NA,0.001458246
Msex2.03623,Eupyrene,DPOGS207040,Copii-coated vesicle membrane protein P24,NA,0.000409395
Msex2.03683,Shared,DPOGS203385,NA,0.000286618,0.000329225
Msex2.03686,Apyrene,DPOGS203389,"Actin, cytoplasmic",0.00094842,NA
Msex2.03689,Shared,DPOGS203321,Mitochondrial processing peptidase beta subunit,0.00021434,0.000557215
Msex2.03690,Shared,NA,Mitochondrial processing peptidase beta subunit,0.001345674,0.000430383
Msex2.03694,Eupyrene,NA,Haloacid dehalogenase,NA,0.000418313
Msex2.03697,Shared,DPOGS212567,Outer dense fiber protein 2,0.003639136,0.001814284
Msex2.03704,Eupyrene,DPOGS200101,NA,NA,0.000511326
Msex2.03717,Apyrene,DPOGS201501,Prolyl endopeptidase,0.000506549,NA
Msex2.03741,Shared,"DPOGS215734,DPOGS204239",Elongation factor 1-alpha,0.000141968,0.000612903
Msex2.03744,Eupyrene,DPOGS215686,Protein disulfide-isomerase,NA,0.000222045
Msex2.03749,Shared,DPOGS215741,Ankyrin repeat and MYND domain-containing protein 1,0.000143041,6.86E-05
Msex2.03763,Shared,DPOGS215677,Fibrous sheath-interacting protein 2,0.001191296,0.000417234
Msex2.03772,Apyrene,DPOGS214304,Adenylate cyclase type 10,0.000238811,NA
Msex2.03776,Shared,DPOGS208185,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0.004047003,0.009364377
Msex2.03780,Apyrene,DPOGS208175,Dynein light chain Tctex-type,0.000566647,NA
Msex2.03879,Eupyrene,DPOGS204004,Large subunit ribosomal protein L23e,NA,0.000539301
Msex2.03935,Eupyrene,NA,NA,NA,0.000152813
Msex2.03964,Eupyrene,NA,NA,NA,0.000244376
Msex2.03980,Shared,DPOGS204774,Organic cation transporter,0.001332252,0.000382096
Msex2.04003,Eupyrene,DPOGS209294,NA,NA,0.001753005
Msex2.04050,Eupyrene,"DPOGS200646,DPOGS200647",Nadh:ubiquinone dehydrogenase (Fragment),NA,0.001021806
Msex2.04051,Shared,"DPOGS200646,DPOGS200647",NADH dehydrogenase,0.001765668,0.000675331
Msex2.04066,Shared,DPOGS200638,Phosphodiesterase,0.001064923,0.000636538
Msex2.04088,Shared,DPOGS208674,NA,0.001978755,0.000939822
Msex2.04089,Shared,NA,NA,0.001383511,0.000864199
Msex2.04102,Apyrene,DPOGS208686,Proteasome subunit beta type,0.000564892,NA
Msex2.04108,Eupyrene,DPOGS208750,Ribosomal protein L1,NA,0.000466505
Msex2.04133,Eupyrene,DPOGS208705,40S ribosomal protein S8,NA,0.000901453
Msex2.04167,Eupyrene,DPOGS213332,NA,NA,0.005428076
Msex2.04176,Eupyrene,DPOGS211545,"Apoptosis-inducing factor 1, mitochondrial",NA,0.001255563
Msex2.04241,Shared,NA,NA,0.000819698,0.001530935
Msex2.04242,Eupyrene,DPOGS213874,NA,NA,0.00083113
Msex2.04244,Eupyrene,NA,NA,NA,0.000257775
Msex2.04248,Shared,DPOGS210552,NA,0.005427283,0.003951487
Msex2.04254,Eupyrene,DPOGS210556,NA,NA,0.001307902
Msex2.04311,Apyrene,DPOGS212105,Alpha-aminoadipic semialdehyde dehydrogenase,0.000141257,NA
Msex2.04319,Eupyrene,DPOGS212152,Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type,NA,0.000162168
Msex2.04340,Apyrene,DPOGS212775,Heat shock 70 kDa protein cognate 2,0.000190587,NA
Msex2.04343,Eupyrene,NA,"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",NA,0.00038702
Msex2.04383,Shared,DPOGS205766,NADH dehydrogenase 1 beta subcomplex subunit 7,0.001021971,0.000719971
Msex2.04402,Shared,DPOGS215566,NA,0.00029747,0.000249955
Msex2.04407,Shared,DPOGS215594,NA,0.000516991,0.000256362
Msex2.04432,Eupyrene,DPOGS208439,NA,NA,0.000489615
Msex2.04446,Shared,DPOGS215474,NA,0.001899581,0.001120186
Msex2.04461,Eupyrene,DPOGS209150,Ribosomal protein (Fragment),NA,0.000846452
Msex2.04478,Apyrene,DPOGS209160,ATP synthase coupling factor B,0.001268071,NA
Msex2.04496,Shared,"DPOGS208941,DPOGS202452","2-oxoglutarate dehydrogenase, mitochondrial",0.000204772,0.007986081
Msex2.04499,Shared,DPOGS212420,WD repeat-containing protein 66,0.00069903,0.000264546
Msex2.04501,Shared,DPOGS212419,Pyridine nucleotide-disulfide oxidoreductase,0.001168737,0.000353296
Msex2.04502,Eupyrene,DPOGS212427,Short-chain dehydrogenase,NA,0.000414884
Msex2.04506,Eupyrene,DPOGS212414,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,NA,0.000776381
Msex2.04541,Apyrene,NA,NA,0.000899911,NA
Msex2.04545,Eupyrene,DPOGS211896,NA,NA,0.000422474
Msex2.04573,Apyrene,DPOGS215990,NA,0.000322039,NA
Msex2.04574,Shared,DPOGS215991,NA,0.00017359,8.98E-05
Msex2.04577,Apyrene,DPOGS213269,N-acetylglucosamine-6-phosphate deacetylase,0.000238911,NA
Msex2.04651,Eupyrene,DPOGS210861,Ribosomal protein L22,NA,0.000608871
Msex2.04652,Shared,DPOGS210806,"Aconitate hydratase, mitochondrial",0.001878463,0.000243632
Msex2.04660,Shared,DPOGS210800,NA,0.003730458,0.001309991
Msex2.04661,Shared,DPOGS210866,NA,0.002786087,0.00604982
Msex2.04664,Eupyrene,DPOGS210868,Multiple inositol polyphosphate phosphatase 1,NA,0.000398219
Msex2.04716,Shared,DPOGS201125,Trypsin-1,0.001037377,0.001406223
Msex2.04726,Eupyrene,DPOGS212658,Trypsin-6,NA,0.000464124
Msex2.04738,Eupyrene,DPOGS206317,Kinase C alpha type,NA,0.000217853
Msex2.04745,Shared,DPOGS206344,NA,0.001677035,0.000683082
Msex2.04747,Shared,DPOGS201181,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,9.96E-05,0.000396213
Msex2.04775,Apyrene,NA,NA,0.00016837,NA
Msex2.04776,Apyrene,DPOGS206030,Pyruvate dehydrogenase,0.000159676,NA
Msex2.04782,Apyrene,DPOGS206035,NA,0.000786985,NA
Msex2.04783,Eupyrene,NA,NA,NA,0.001634605
Msex2.04785,Eupyrene,DPOGS206039,NA,NA,0.002322781
Msex2.04815,Shared,DPOGS202822,Phosphodiesterase,0.001037152,0.000379981
Msex2.04824,Eupyrene,DPOGS207662,Polypeptide N-acetylgalactosaminyltransferase,NA,0.00023474
Msex2.04830,Eupyrene,DPOGS207665,KIF1-binding protein like protein,NA,0.000131883
Msex2.04846,Shared,"DPOGS203334,DPOGS214479",Tubulin alpha chain,0.009140179,0.001063172
Msex2.04853,Shared,NA,NA,0.000560317,0.000387463
Msex2.04855,Shared,NA,NA,0.000682552,0.000233287
Msex2.04864,Shared,DPOGS208793,NA,0.000612345,0.0003426
Msex2.04871,Eupyrene,DPOGS208819,NA,NA,0.008980612
Msex2.04888,Shared,DPOGS208810,NA,0.005563412,0.003331032
Msex2.04935,Shared,DPOGS215549,Coagulation factor IX,0.002368728,0.001850768
Msex2.04936,Shared,NA,Coagulation factor IX,0.000587076,0.000349743
Msex2.04942,Shared,DPOGS215545,NA,0.000351661,0.000311212
Msex2.04946,Apyrene,NA,NA,0.000328426,NA
Msex2.05036,Shared,DPOGS209648,Armadillo repeat-containing protein gudu,0.001965869,0.000932389
Msex2.05047,Eupyrene,DPOGS209641,NA,NA,0.000897444
Msex2.05052,Shared,DPOGS209638,Glutamine synthetase 2 cytoplasmic,0.001255719,0.003990733
Msex2.05053,Shared,NA,"Glutamine synthetase, chloroplastic",0.02580381,0.007053566
Msex2.05066,Eupyrene,DPOGS207007,Endoplasmic reticulum resident protein 29,NA,0.00063108
Msex2.05067,Shared,NA,Metalloendopeptidase,0.009499183,0.0020658
Msex2.05068,Shared,DPOGS207006,Metalloendopeptidase,0.006034335,0.002051609
Msex2.05114,Eupyrene,DPOGS213213,Mitochondrial hydroxyacyl-coenzyme a dehydrogenase,NA,0.000217702
Msex2.05163,Shared,DPOGS209841,Aminopeptidase,0.000105335,0.00017774
Msex2.05183,Shared,DPOGS201263,NA,0.000571785,0.000583896
Msex2.05184,Apyrene,DPOGS201223,Putative IQ and AAA domain-containing protein 1-like,0.00020228,NA
Msex2.05191,Apyrene,DPOGS206617,Spermatogenesis-associated protein 17,0.000275768,NA
Msex2.05213,Eupyrene,DPOGS207506,ADP ribosylation factor,NA,0.000401713
Msex2.05220,Shared,DPOGS207528,Zinc carboxypeptidase,0.000579992,0.007230462
Msex2.05221,Eupyrene,DPOGS207527,Zinc carboxypeptidase,NA,0.000537949
Msex2.05235,Shared,DPOGS214667,Axonemal dynein intermediate chain polypeptide,0.001958584,0.001025453
Msex2.05240,Eupyrene,DPOGS214664,Glycine C-acetyltransferase,NA,0.000508297
Msex2.05286,Apyrene,DPOGS202308,Serine/threonine-protein phosphatase 2A regulatory subunit B,0.000264793,NA
Msex2.05290,Eupyrene,NA,Pyridoxal-phosphate dependent enzyme,NA,0.000336761
Msex2.05350,Shared,DPOGS211615,NADH-quinone oxidoreductase,0.002111902,0.001338934
Msex2.05354,Shared,DPOGS200337,Putative cohesin subunit,0.000584655,0.000276216
Msex2.05364,Shared,DPOGS205530,NA,0.000252154,0.000932254
Msex2.05412,Shared,DPOGS201289,"Dynein heavy chain 7, axonemal",0.000849798,0.000438556
Msex2.05413,Shared,NA,"Dynein heavy chain 7, axonemal (Fragment)",0.000969243,0.000308634
Msex2.05418,Shared,DPOGS201323,Aspartate aminotransferase,0.005337631,0.001724647
Msex2.05437,Apyrene,DPOGS201313,NA,0.002372031,NA
Msex2.05438,Shared,DPOGS201312,Chymotrypsin,0.003515575,0.000396987
Msex2.05440,Apyrene,NA,Alpha/beta hydrolase,0.000702214,NA
Msex2.05458,Shared,NA,NA,0.001458645,9.18E-05
Msex2.05459,Shared,DPOGS215645,Ubiquinol-cytochrome c reductase complex 14 kDa-like,0.003266551,0.001598545
Msex2.05468,Eupyrene,DPOGS215772,Nuclear envelope protein lamin,NA,0.001245501
Msex2.05475,Shared,DPOGS215635,Mitochondrial import receptor subunit TOM40-like 2,0.000421006,0.000305215
Msex2.05481,Eupyrene,DPOGS215780,Cystathionine gamma-lyase,NA,0.000317957
Msex2.05662,Eupyrene,DPOGS212201,"Malate dehydrogenase, mitochondrial",NA,0.000891468
Msex2.05663,Eupyrene,DPOGS212210,"Malate dehydrogenase, mitochondrial",NA,0.000683159
Msex2.05701,Eupyrene,DPOGS209544,Large subunit ribosomal protein L17e,NA,0.000480134
Msex2.05713,Eupyrene,DPOGS204509,Fasciclin-1,NA,0.000234866
Msex2.05732,Eupyrene,"DPOGS209011,DPOGS209012",Signal peptidase complex catalytic subunit SEC11,NA,0.001292394
Msex2.05734,Shared,"DPOGS209009,DPOGS209016",ATP synthase subunit beta,0.00225541,0.002181979
Msex2.05741,Shared,DPOGS202366,NA,0.000909988,0.000601257
Msex2.05818,Shared,DPOGS206279,Ornithine carbamoyltransferase,0.000200331,0.000847318
Msex2.05820,Eupyrene,NA,NA,NA,0.000335858
Msex2.05831,Apyrene,DPOGS211029,Vacuolar protein sorting-associating protein 4,0.000270094,NA
Msex2.05836,Shared,DPOGS211597,Malic enzyme,0.002543728,0.000392129
Msex2.05838,Eupyrene,NA,Malic enzyme,NA,0.003603667
Msex2.05857,Shared,DPOGS211789,cAMP-dependent protein kinase type II regulatory subunit,0.002259982,0.00140256
Msex2.05861,Shared,NA,NA,0.00188384,0.000910384
Msex2.05863,Apyrene,DPOGS211775,Testis-specific serine/threonine-protein kinase,0.000471055,NA
Msex2.05885,Shared,DPOGS215193,Mitochondrial ATP synthase b chain,0.002682955,0.000435335
Msex2.05938,Eupyrene,NA,Microvitellogenin,NA,0.001668684
Msex2.05941,Shared,DPOGS213431,Trypsin,0.008995844,0.005276181
Msex2.05951,Shared,DPOGS211673,Alcohol dehydrogenase,0.001143606,0.00262505
